E N X Y Z date
-23.0 6122.0    1966-07-19
-50.0 6118.0    1966-07-20
-23.0 6061.0    1966-07-21
8.0 6013.0    1966-07-22
63.0 5977.0    1966-07-23
68.0 6002.0    1966-07-24
48.0 6043.0    1966-07-25
82.0 6032.0    1966-07-26
133.0 5982.0    1966-07-27
93.0 6129.0    1966-07-28
54.0 6186.0    1966-07-29
77.0 6130.0    1966-07-30
55.0 6111.0    1966-07-31
  5099.589058829448 -3476.7478239105853 54538.0 1970-06-02
  5144.413116666976 -3492.640503267517 54512.0 1970-06-03
  5133.689124522208 -3488.851526328172 54529.0 1970-06-04
  5136.042155181707 -3453.2292104921794 54577.0 1970-06-05
  5131.832046935943 -3488.0259233614142 54564.0 1970-06-06
  5094.678858519469 -3508.681138056685 54566.0 1970-06-07
  5085.135502539242 -3437.5050430239316 54593.0 1970-06-08
  5043.256096301145 -3397.66521998877 54601.0 1970-06-09
  5068.138929840791 -3419.7900210147764 54610.0 1970-06-10
  5055.7036476597605 -3397.0783957747853 54585.0 1970-06-11
  5090.959052141629 -3430.664211113819 54584.0 1970-06-12
  5073.93256959751 -3398.6257927547126 54620.0 1970-06-13
  5056.158065959177 -3430.3593998349434 54612.0 1970-06-14
  5092.889110736814 -3424.2151663904515 54599.0 1970-06-15
  5048.1864840287535 -3413.597694876977 54607.0 1970-06-16
  5018.290123388465 -3404.2415069295216 54593.0 1970-06-17
  5069.928832897262 -3417.135881020393 54586.0 1970-06-18
  5063.458744712567 -3426.7158534949804 54624.0 1970-06-19
  5092.793348263038 -3456.5128253613866 54621.0 1970-06-20
  5123.722359626494 -3446.4611098144587 54584.0 1970-06-21
  5077.165904885939 -3438.576794876587 54598.0 1970-06-22
  5093.192472899947 -3441.6564956420802 54591.0 1970-06-23
  5113.730785965083 -3525.0926865364736 54587.0 1970-06-24
  5139.381129709071 -3508.9158729713536 54496.0 1970-06-25
  5131.020305556524 -3535.249867260677 54488.0 1970-06-26
  5128.871068890329 -3409.9798472571315 54535.0 1970-06-27
  5145.65522313365 -3472.966502089732 54533.0 1970-06-28
  5085.1635368535635 -3494.2827308984242 54560.0 1970-06-29
  5153.29755100214 -3475.943087974161 54555.0 1970-06-30
  5139.339576921938 -3501.8780265857113 54500.0 1970-07-01
  5146.321822380097 -3477.3398885490624 54504.0 1970-07-02
  5150.869239309067 -3470.6003917967328 54610.0 1970-07-03
