D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
  13439.924986971791 7892.51622390295 55859.0 1917-12-15
  13364.029863854486 7865.7329472850415 55797.0 1917-12-16
  13401.02477483516 7881.734833414169 55856.0 1917-12-17
  13401.70086893587 7872.690951610099 55850.0 1917-12-18
  13416.871864566454 7878.453551922807 55848.0 1917-12-19
  13432.79705498923 7888.855891665958 55850.0 1917-12-20
  13432.448953163648 7885.49878705544 55852.0 1917-12-21
  13434.806666919412 7887.408371733882 55852.0 1917-12-22
  13439.632893878645 7887.087971981493 55863.0 1917-12-23
  13439.348002446219 7889.54886347406 55868.0 1917-12-24
  13439.229239084694 7885.799988544664 55852.0 1917-12-25
  13433.366381680265 7883.935797274258 55850.0 1917-12-26
  13434.632511378419 7885.729724268643 55862.0 1917-12-27
  13439.118499086726 7889.939794922704 55860.0 1917-12-28
  13438.833104506813 7892.400762075616 55858.0 1917-12-29
  13439.751336061472 7890.837029417973 55858.0 1917-12-30
  13440.843231953651 7890.952364198233 55854.0 1917-12-31
  13441.76129496596 7889.388397661447 55852.0 1918-01-01
  13442.623720302478 7889.8945819548935 55848.0 1918-01-02
  13444.174661812485 7889.227570724475 55825.0 1918-01-03
  13444.164945803372 7881.33776144836 55850.0 1918-01-04
  13434.861892273817 7885.338923313872 55835.0 1918-01-05
  13440.146702601798 7884.236209839353 55846.0 1918-01-06
  13440.265902163921 7887.98507092463 55857.0 1918-01-07
  13442.853222345293 7889.50354854352 55854.0 1918-01-08
  13446.762070330924 7890.745897816608 55865.0 1918-01-09
     1918-01-10
     1918-01-11
  13414.071314287292 7893.084743952443 55808.0 1918-01-12
  13432.558630430718 7881.360583049175 55843.0 1918-01-13
  13432.448953163648 7885.49878705544 55854.0 1918-01-14
  13436.467240225727 7882.603129825886 55850.0 1918-01-15
  13439.174018956406 7887.869844781107 55858.0 1918-01-16
  13437.164280943847 7889.318100249654 55850.0 1918-01-17
  13441.072764766861 7890.561382578716 55854.0 1918-01-18
  13443.833480118368 7893.759646635338 55851.0 1918-01-19
  13442.68523712545 7895.714889455513 55842.0 1918-01-20
  13438.999844775604 7886.1909165402085 55835.0 1918-01-21
  13437.338064415593 7890.997068977266 55852.0 1918-01-22
  13439.292243027712 7891.6189091019305 55850.0 1918-01-23
  13442.853222345293 7889.50354854352 55834.0 1918-01-24
  13437.67858198255 7886.466593305741 55849.0 1918-01-25
  13441.935145927182 7891.067642131044 55847.0 1918-01-26
  13437.05245715091 7893.457877494163 55841.0 1918-01-27
  13443.082713013311 7889.112508456365 55843.0 1918-01-28
  13440.779882169567 7885.133173197893 55831.0 1918-01-29
  13405.105267718895 7884.659584368569 55831.0 1918-01-30
  13425.941632893877 7874.8534126119985 55849.0 1918-01-31
  13427.623298259872 7885.817431314821 55840.0 1918-02-01
  13430.613550575114 7888.624446321941 55851.0 1918-02-02
  13437.852702660977 7888.145456416677 55842.0 1918-02-03
  13437.852702660977 7888.145456416677 55838.0 1918-02-04
  13425.731926655675 7891.010786558241 55835.0 1918-02-05
  13422.568537372625 7886.525081398937 55837.0 1918-02-06
  13431.072469412777 7887.843071548912 55839.0 1918-02-07
  13440.21038360654 7890.055123026388 55837.0 1918-02-08
  13442.220258229645 7888.606374337647 55841.0 1918-02-09
  13435.091261801179 7884.948115686851 55843.0 1918-02-10
  13428.082053797083 7885.036230512368 55840.0 1918-02-11
  13383.136539475367 7862.832846103199 55804.0 1918-02-12
  13422.84203875466 7876.18439364142 55840.0 1918-02-13
  13435.54996675102 7884.166480417364 55870.0 1918-02-14
  13426.134910021387 7892.298611805372 55822.0 1918-02-15
  13425.787821650116 7888.941967591814 55818.0 1918-02-16
  13438.256132653263 7889.43351028494 55830.0 1918-02-17
  13435.557565663494 7892.054035531084 55838.0 1918-02-18
  13439.521795230583 7891.227972598572 55838.0 1918-02-19
  13441.357803445979 7888.100240218929 55832.0 1918-02-20
  13433.200340550186 7890.143826993421 55835.0 1918-02-21
  13441.476039473222 7891.849648863519 55835.0 1918-02-22
  13442.734331924594 7885.754160592114 55827.0 1918-02-23
  13432.164219303195 7887.958759125899 55842.0 1918-02-24
  13439.292243027712 7891.6189091019305 55837.0 1918-02-25
  13443.027077979677 7891.182863215452 55836.0 1918-02-26
  13448.368519013713 7888.007681081508 55831.0 1918-02-27
  13431.307428928547 7895.339178883248 55828.0 1918-02-28
  13434.17371548429 7886.511306160095 55844.0 1918-03-01
  13435.265515001629 7886.62675301729 55841.0 1918-03-02
  13408.140466781433 7877.523102032653 55791.0 1918-03-03
  13439.348002446219 7889.54886347406 55840.0 1918-03-04
  13439.69539729504 7892.907172134139 55835.0 1918-03-05
  13441.879209773242 7893.137988776445 55838.0 1918-03-06
  13444.063094590847 7893.368578031838 55834.0 1918-03-07
  13429.283436474645 7881.014362556878 55828.0 1918-03-08
  13416.936734141907 7884.266146702148 55847.0 1918-03-09
  13422.61292415882 7876.574844956697 55825.0 1918-03-10
  13424.498903528158 7871.383181447291 55835.0 1918-03-11
  13415.09281072468 7879.508162293064 55831.0 1918-03-12
  13423.944791220343 7884.182281141666 55846.0 1918-03-13
  13430.669020542613 7886.555310186883 55837.0 1918-03-14
  13433.88883434066 7888.971529076354 55832.0 1918-03-15
  13396.915177467035 7863.066814402214 55803.0 1918-03-16
  13429.980737619273 7887.727327131388 55837.0 1918-03-17
  13427.741675298128 7889.5645951764545 55818.0 1918-03-18
  13430.384074109523 7889.01512369607 55825.0 1918-03-19
  13425.27282353686 7891.7918506257265 55815.0 1918-03-20
  13422.908120306023 7881.99807116334 55801.0 1918-03-21
  13425.77916025068 7881.058173886204 55797.0 1918-03-22
  13434.338135270393 7880.303539028152 55820.0 1918-03-23
  13432.852522414472 7886.786551635789 55818.0 1918-03-24
  13436.357332602116 7886.7421430289805 55820.0 1918-03-25
  13440.843231953651 7890.952364198233 55812.0 1918-03-26
  13433.88883434066 7888.971529076354 55809.0 1918-03-27
  13440.495348662313 7887.594106100211 55810.0 1918-03-28
  13438.4216163866 7883.224242670846 55821.0 1918-03-29
  13434.861892273817 7885.338923313872 55817.0 1918-03-30
  13435.613449378126 7889.98429902681 55805.0 1918-03-31
  13443.200742884972 7892.862268309065 55807.0 1918-04-01
  13444.110450914106 7883.407840751492 55826.0 1918-04-02
  13443.256617496905 7890.791818070331 55817.0 1918-04-03
  13433.650397903035 7881.475876187125 55829.0 1918-04-04
  13429.781349267656 7870.281374313285 55810.0 1918-04-05
     1918-04-06
  13427.154459894142 7878.7148133528 55847.0 1918-04-07
  13423.715443974921 7884.572764531329 55821.0 1918-04-08
  13425.669347334324 7885.195151424444 55815.0 1918-04-09
  13431.586572003327 7884.992527503112 55819.0 1918-04-10
     1918-04-11
  13436.412436257166 7884.672589448075 55834.0 1918-04-12
  13426.70565084407 7887.379752845169 55817.0 1918-04-13
  13435.439577532097 7888.305480804108 55810.0 1918-04-14
  13439.236183825355 7893.689048560206 55811.0 1918-04-15
  13442.853222345293 7889.50354854352 55815.0 1918-04-16
  13443.027077979677 7891.182863215452 55815.0 1918-04-17
  13443.88112618771 7883.798910736742 55813.0 1918-04-18
  13426.062802183407 7878.599281079542 55799.0 1918-04-19
  13433.540723228729 7885.614284084366 55824.0 1918-04-20
  13442.623720302478 7889.8945819548935 55819.0 1918-04-21
  13436.934784297911 7889.708968176513 55817.0 1918-04-22
  13430.953535569379 7884.095580684979 55813.0 1918-04-23
  13437.741240132184 7892.285243403888 55813.0 1918-04-24
  13445.155064120967 7893.483787387056 55818.0 1918-04-25
  13432.623099410124 7887.177294139747 55806.0 1918-04-26
  13438.541022043008 7886.972752512037 55814.0 1918-04-27
  13438.944564437661 7888.260771169486 55806.0 1918-04-28
  13440.036444292924 7888.376029074553 55799.0 1918-04-29
  13420.604784931982 7878.02076708743 55786.0 1918-04-30
  13443.312192306337 7888.721461693764 55826.0 1918-05-01
  13433.191849489418 7882.2574009487325 55789.0 1918-05-02
  13432.842213238442 7878.900879833386 55787.0 1918-05-03
  13420.962391114226 7889.258044727497 55782.0 1918-05-04
  13431.154767943817 7867.937315430268 55779.0 1918-05-05
  13436.934784297911 7889.708968176513 55792.0 1918-05-06
  13436.816141922094 7885.960434099445 55794.0 1918-05-07
  13440.32112097097 7885.915112729889 55793.0 1918-05-08
  13451.121133745492 7883.312834418369 55796.0 1918-05-09
  13447.102197988139 7886.213506928568 55800.0 1918-05-10
  13435.898477804933 7887.5238252647505 55799.0 1918-05-11
  13437.338064415593 7890.997068977266 55802.0 1918-05-12
  13440.898869629442 7888.882213368 55809.0 1918-05-13
  13440.265902163921 7887.98507092463 55792.0 1918-05-14
  13433.137041600781 7884.326554726978 55794.0 1918-05-15
  13447.282828028598 7895.7849858647505 55811.0 1918-05-16
  13444.906685622816 7878.094516753076 55781.0 1918-05-17
  13420.429780773407 7876.343409179811 55796.0 1918-05-18
  13429.796185310615 7878.16440682831 55808.0 1918-05-19
  13431.521271525811 7879.176373996817 55811.0 1918-05-20
  13433.879655059425 7881.085103802681 55810.0 1918-05-21
  13437.667779583366 7878.579417988183 55817.0 1918-05-22
  13440.154565276222 7892.125268993435 55807.0 1918-05-23
  13439.80697504951 7888.766980549655 55803.0 1918-05-24
  13437.73362412422 7884.396936169651 55802.0 1918-05-25
  13442.504938947102 7886.145190546696 55804.0 1918-05-26
  13442.449722800191 7888.215352663053 55802.0 1918-05-27
  13446.588102941145 7889.066382648943 55800.0 1918-05-28
  13437.667779583366 7878.579417988183 55796.0 1918-05-29
  13438.880221039937 7882.4424136521 55796.0 1918-05-30
  13436.301929237972 7888.811790526881 55804.0 1918-05-31
  13443.19308375529 7884.972080665467 55806.0 1918-06-01
  13447.505946470643 7887.501747678834 55805.0 1918-06-02
  13450.267694446015 7890.6992686163085 55801.0 1918-06-03
  13447.276502655885 7887.892916433316 55786.0 1918-06-04
  13446.872791646954 7886.604663939028 55786.0 1918-06-05
  13451.99275122355 7891.7112859651115 55799.0 1918-06-06
  13446.817580890942 7888.675233918703 55805.0 1918-06-07
  13450.323140685803 7888.628297183993 55797.0 1918-06-08
  13451.75454616573 7884.2097657095355 55793.0 1918-06-09
  13261.12456489836 7829.59611182143 55783.0 1918-06-10
  13415.322010650443 7879.117929727778 55779.0 1918-06-11
  13444.731290537107 7876.415715619153 55820.0 1918-06-12
  13431.237619220286 7881.635935263808 55803.0 1918-06-13
  13425.254371171746 7876.025017058667 55761.0 1918-06-14
  13436.400733501509 7876.786167515285 55800.0 1918-06-15
  13436.980192661274 7879.752045720003 55804.0 1918-06-16
  13432.842213238442 7878.900879833386 55801.0 1918-06-17
  13436.063250921792 7881.315456015507 55799.0 1918-06-18
  13438.017648496867 7881.9364802494265 55805.0 1918-06-19
  13440.036444292924 7888.376029074553 55797.0 1918-06-20
  13442.318305974683 7876.5778457943225 55788.0 1918-06-21
  13449.11989649898 7892.65544728739 55802.0 1918-06-22
